process,rep,lag,theoretical_acf,acf
white_noise,11,15,0.0,-0.07743659707721326
white_noise,11,16,0.0,0.03214813830736775
white_noise,11,17,0.0,-0.053147869612551635
white_noise,11,18,0.0,-0.07587685288215226
white_noise,11,19,0.0,-0.046858359066037164
white_noise,11,20,0.0,-0.005213383426530555
white_noise,12,1,0.0,-0.028284544033298786
white_noise,12,2,0.0,-0.011869687014911647
white_noise,12,3,0.0,0.002539930055252822
white_noise,12,4,0.0,0.10692876653186678
white_noise,12,5,0.0,0.0008937812965232054
white_noise,12,6,0.0,-0.018945825543676638
white_noise,12,7,0.0,-0.14754373566607634
white_noise,12,8,0.0,0.04800624899412454
white_noise,12,9,0.0,-0.0038090319101510258
white_noise,12,10,0.0,0.018884628989016345
white_noise,12,11,0.0,-0.08062562851904473
white_noise,12,12,0.0,0.0515992220256844
white_noise,12,13,0.0,-0.04627064229625231
white_noise,12,14,0.0,0.05711807132123768
white_noise,12,15,0.0,-0.05769894921278868
white_noise,12,16,0.0,0.046573010046365534
white_noise,12,17,0.0,-0.027952137252401008
white_noise,12,18,0.0,0.01604050431830428
white_noise,12,19,0.0,0.020835747427163282
white_noise,12,20,0.0,0.09351876907717323
white_noise,13,1,0.0,0.03874021121806262
white_noise,13,2,0.0,0.036822478741403236
white_noise,13,3,0.0,-0.07879574565397769
white_noise,13,4,0.0,0.05964619603728465
white_noise,13,5,0.0,-0.056672330327303407
white_noise,13,6,0.0,-0.03794632398617827
white_noise,13,7,0.0,-0.022595263676100933
white_noise,13,8,0.0,-0.15324971348480257
white_noise,13,9,0.0,-0.07856698221392902
white_noise,13,10,0.0,-0.14003845732241338
white_noise,13,11,0.0,-0.02719302007478906
white_noise,13,12,0.0,-0.01933512405199517
white_noise,13,13,0.0,0.04120585525895783
white_noise,13,14,0.0,0.055487826348957964
white_noise,13,15,0.0,0.06890314786175321
white_noise,13,16,0.0,0.13652313057365556
white_noise,13,17,0.0,0.147651591290123
white_noise,13,18,0.0,0.08479279243221848
white_noise,13,19,0.0,-0.025524187782931983
white_noise,13,20,0.0,-0.05616863905423056
white_noise,14,1,0.0,0.028759964939719055
white_noise,14,2,0.0,-0.0057828155924533955
white_noise,14,3,0.0,0.019205044581208152
white_noise,14,4,0.0,0.06279391527554215
white_noise,14,5,0.0,0.04521350080324191
white_noise,14,6,0.0,-0.11890166832985241
white_noise,14,7,0.0,-0.02315793353066179
white_noise,14,8,0.0,-0.031160751685418382
white_noise,14,9,0.0,0.11987294094177799
white_noise,14,10,0.0,0.07341990898580482
white_noise,14,11,0.0,0.11375742499844722
white_noise,14,12,0.0,0.05539257727809879
white_noise,14,13,0.0,-0.045681082263139855
white_noise,14,14,0.0,0.03494996833472367
white_noise,14,15,0.0,-0.02863544139950956
white_noise,14,16,0.0,-0.04418973494409434
white_noise,14,17,0.0,-0.06374063756371241
white_noise,14,18,0.0,-0.0013371011351689908
white_noise,14,19,0.0,-0.0355907973126099
white_noise,14,20,0.0,0.01569634299038277
white_noise,15,1,0.0,-0.07610953785583244
white_noise,15,2,0.0,-0.05771902179591374
white_noise,15,3,0.0,0.022286175192085755
white_noise,15,4,0.0,0.03659185363337531
white_noise,15,5,0.0,0.04449318223093501
white_noise,15,6,0.0,-0.05711319862507175
white_noise,15,7,0.0,0.017807469575031702
white_noise,15,8,0.0,0.0052594102070351815
white_noise,15,9,0.0,0.048341201754332305
white_noise,15,10,0.0,-0.0353689066282319
white_noise,15,11,0.0,0.011269085169294193
white_noise,15,12,0.0,0.04711858974809599
white_noise,15,13,0.0,0.03205280273937827
white_noise,15,14,0.0,-0.039871371107585006
white_noise,15,15,0.0,-0.054282867198712725
white_noise,15,16,0.0,0.02355078009407187
white_noise,15,17,0.0,0.03833214247745068
white_noise,15,18,0.0,0.041436837873641275
white_noise,15,19,0.0,0.025615050882908476
white_noise,15,20,0.0,-0.09522156691321694
white_noise,16,1,0.0,0.0699980101816047
white_noise,16,2,0.0,-0.05556357176969036
white_noise,16,3,0.0,-0.05736914185394758
white_noise,16,4,0.0,-0.07231221118984812
white_noise,16,5,0.0,-0.01998985746458528
white_noise,16,6,0.0,0.05098179128229077
white_noise,16,7,0.0,0.005282115023426482
white_noise,16,8,0.0,-0.01819317207823723
white_noise,16,9,0.0,-0.01353017903330377
white_noise,16,10,0.0,-0.018298942790836843
white_noise,16,11,0.0,0.0056288894117374755
white_noise,16,12,0.0,0.07990604096055089
white_noise,16,13,0.0,-0.0026241510154885734
white_noise,16,14,0.0,0.018445205119288356
white_noise,16,15,0.0,0.034074876759925564
white_noise,16,16,0.0,0.021398492953402296
white_noise,16,17,0.0,0.05074827103980335
white_noise,16,18,0.0,0.03161576625503093
white_noise,16,19,0.0,-0.10892881795824952
white_noise,16,20,0.0,0.0406448562529372
white_noise,17,1,0.0,0.06371632613394612
white_noise,17,2,0.0,0.010571295060198039
white_noise,17,3,0.0,-0.024296982403134156
white_noise,17,4,0.0,0.045622275867483644
white_noise,17,5,0.0,0.017292586087579092
white_noise,17,6,0.0,-0.00918592647324063
white_noise,17,7,0.0,-0.01018308938415577
white_noise,17,8,0.0,-0.011630558199390824
white_noise,17,9,0.0,0.11027486417822932
white_noise,17,10,0.0,-0.01778657579354045
white_noise,17,11,0.0,0.07773715133050793
white_noise,17,12,0.0,-0.021613623018865834
white_noise,17,13,0.0,0.019019109411678652
white_noise,17,14,0.0,0.018788176702241557
white_noise,17,15,0.0,0.002054041134350532
white_noise,17,16,0.0,0.025581037595568158
white_noise,17,17,0.0,-0.00021571398029644648
white_noise,17,18,0.0,-0.1250752001325249
white_noise,17,19,0.0,-0.06464809937673545
white_noise,17,20,0.0,0.039840510924018614
white_noise,18,1,0.0,-0.08459983694678973
white_noise,18,2,0.0,-0.06347728924724737
white_noise,18,3,0.0,-0.09979036693232718
white_noise,18,4,0.0,0.015422460790292842
white_noise,18,5,0.0,-0.07487801838112426
white_noise,18,6,0.0,0.06583944080305829
white_noise,18,7,0.0,0.047324619183452946
white_noise,18,8,0.0,0.0372152775670919
white_noise,18,9,0.0,-0.025769801973589856
white_noise,18,10,0.0,-0.0034328571559218554
white_noise,18,11,0.0,0.010859805382036456
white_noise,18,12,0.0,-0.0749775499815343
white_noise,18,13,0.0,-0.016197507220036034
white_noise,18,14,0.0,0.04368897764668308
white_noise,18,15,0.0,-0.07208369027084091
white_noise,18,16,0.0,0.057995440338774025
white_noise,18,17,0.0,0.08705978193731266
white_noise,18,18,0.0,-0.011912899798212724
white_noise,18,19,0.0,-0.07478907485962982
white_noise,18,20,0.0,0.057388043489416174
white_noise,19,1,0.0,-0.053246950278006626
white_noise,19,2,0.0,-0.016163985298384052
white_noise,19,3,0.0,-0.03197450804926478
white_noise,19,4,0.0,0.10149535024838471
white_noise,19,5,0.0,0.052403988258560436
white_noise,19,6,0.0,-0.01808082134976759
white_noise,19,7,0.0,0.09374487865430076
white_noise,19,8,0.0,-0.059795139803262495
white_noise,19,9,0.0,0.07543582906933947
white_noise,19,10,0.0,-0.02242042014162214
white_noise,19,11,0.0,0.06126561085998558
white_noise,19,12,0.0,0.019051575886397748
white_noise,19,13,0.0,-0.0017045359051949289
white_noise,19,14,0.0,-0.06508479755491603
white_noise,19,15,0.0,0.019898314669080232
white_noise,19,16,0.0,0.04320571091721203
white_noise,19,17,0.0,0.05817831210410897
white_noise,19,18,0.0,-0.05555999393754532
white_noise,19,19,0.0,-0.014548765764826723
white_noise,19,20,0.0,-0.005337158416214686
white_noise,20,1,0.0,-0.02109306634578537
white_noise,20,2,0.0,-0.012378944488217806
white_noise,20,3,0.0,-0.000185109178475849
white_noise,20,4,0.0,-0.01730490567082958
white_noise,20,5,0.0,-0.09013296399165228
white_noise,20,6,0.0,0.0878254835000219
white_noise,20,7,0.0,0.0006316607155205805
white_noise,20,8,0.0,0.010138782995158154
white_noise,20,9,0.0,-0.054241038275364944
white_noise,20,10,0.0,-0.07979589482401005
white_noise,20,11,0.0,0.09912258120887796
white_noise,20,12,0.0,0.02824489683679719
white_noise,20,13,0.0,-0.023142833802178908
white_noise,20,14,0.0,-0.02839354304978959
white_noise,20,15,0.0,0.12165069242823377
white_noise,20,16,0.0,-0.0329477466279589
white_noise,20,17,0.0,0.045216836007343685
white_noise,20,18,0.0,-0.05185463548584644
white_noise,20,19,0.0,-0.010583311233831124
white_noise,20,20,0.0,-0.04580761346210396
white_noise,21,1,0.0,0.07678427324180707
white_noise,21,2,0.0,0.008081190700032794
white_noise,21,3,0.0,0.06763052772158555
white_noise,21,4,0.0,0.10088167919775716
white_noise,21,5,0.0,0.0443290042429086
white_noise,21,6,0.0,0.0007338217560866136
white_noise,21,7,0.0,0.01513855705261723
white_noise,21,8,0.0,-0.05328370209877609
white_noise,21,9,0.0,0.07616098210002856
white_noise,21,10,0.0,-0.010246089055714497
white_noise,21,11,0.0,-0.06902532747868409
white_noise,21,12,0.0,0.10377025752381505
white_noise,21,13,0.0,-0.03341395869563686
white_noise,21,14,0.0,-0.003762114221324756
white_noise,21,15,0.0,-0.06671208101006289
white_noise,21,16,0.0,-0.04538996804252432
white_noise,21,17,0.0,-0.07084493159997915
white_noise,21,18,0.0,-0.10816229798641333
white_noise,21,19,0.0,0.05701491061259926
white_noise,21,20,0.0,-0.04163560786532485
white_noise,22,1,0.0,0.018346186596708614
white_noise,22,2,0.0,0.09114435349207047
white_noise,22,3,0.0,-0.013499058163229287
white_noise,22,4,0.0,0.0770064666141423
white_noise,22,5,0.0,-0.005601961017250586
white_noise,22,6,0.0,0.027350573008391752
white_noise,22,7,0.0,-0.04450038788254747
white_noise,22,8,0.0,0.02173736330908009
white_noise,22,9,0.0,-0.050981341696321104
